Algorytm;Rozmiar;Warunek;Sredni_Czas_ms
QuickSort;100000;Odwrócone (z 75% posortowanych);3.5347
Introsort;100000;95% posortowane;6.1351
MergeSort;100000;95% posortowane;4.1613
QuickSort;100000;95% posortowane;2.1993
Introsort;100000;Odwrócone (z 95% posortowanych);3.4626
MergeSort;100000;Odwrócone (z 95% posortowanych);4.4872
QuickSort;100000;Odwrócone (z 95% posortowanych);2.2588
Introsort;100000;99% posortowane;6.3043
MergeSort;100000;99% posortowane;4.0084
QuickSort;100000;99% posortowane;1.6201
Introsort;100000;Odwrócone (z 99% posortowanych);4.1483
MergeSort;100000;Odwrócone (z 99% posortowanych);4.2746
QuickSort;100000;Odwrócone (z 99% posortowanych);1.7519
Introsort;100000;100% posortowane;7.7860
MergeSort;100000;100% posortowane;3.9149
QuickSort;100000;100% posortowane;1.1642
Introsort;100000;Odwrócone (z 100% posortowanych);7.5210
MergeSort;100000;Odwrócone (z 100% posortowanych);4.2337
QuickSort;100000;Odwrócone (z 100% posortowanych);1.4132
Introsort;500000;0% posortowane;26.6068
MergeSort;500000;0% posortowane;52.8897
QuickSort;500000;0% posortowane;32.1465
Introsort;500000;Odwrócone (z 0% posortowanych);26.7289
MergeSort;500000;Odwrócone (z 0% posortowanych);52.8763
QuickSort;500000;Odwrócone (z 0% posortowanych);32.1620
Introsort;500000;25% posortowane;25.6195
MergeSort;500000;25% posortowane;46.3667
QuickSort;500000;25% posortowane;30.3503
Introsort;500000;Odwrócone (z 25% posortowanych);24.8185
MergeSort;500000;Odwrócone (z 25% posortowanych);47.1615
QuickSort;500000;Odwrócone (z 25% posortowanych);29.4179
Introsort;500000;50% posortowane;23.3874
MergeSort;500000;50% posortowane;38.7686
QuickSort;500000;50% posortowane;26.0073
Introsort;500000;Odwrócone (z 50% posortowanych);21.7638
MergeSort;500000;Odwrócone (z 50% posortowanych);40.2191
QuickSort;500000;Odwrócone (z 50% posortowanych);25.1385
Introsort;500000;75% posortowane;25.8996
MergeSort;500000;75% posortowane;31.1162
QuickSort;500000;75% posortowane;19.5091
Introsort;500000;Odwrócone (z 75% posortowanych);18.8884
MergeSort;500000;Odwrócone (z 75% posortowanych);33.5142
QuickSort;500000;Odwrócone (z 75% posortowanych);19.5907
Introsort;500000;95% posortowane;34.9471
MergeSort;500000;95% posortowane;24.7536
QuickSort;500000;95% posortowane;12.2598
Introsort;500000;Odwrócone (z 95% posortowanych);20.4978
MergeSort;500000;Odwrócone (z 95% posortowanych);27.9150
QuickSort;500000;Odwrócone (z 95% posortowanych);12.6125
Introsort;500000;99% posortowane;36.8332
MergeSort;500000;99% posortowane;23.5560
QuickSort;500000;99% posortowane;10.0893
Introsort;500000;Odwrócone (z 99% posortowanych);23.5211
MergeSort;500000;Odwrócone (z 99% posortowanych);26.9374
QuickSort;500000;Odwrócone (z 99% posortowanych);10.3746
Introsort;500000;100% posortowane;43.2506
MergeSort;500000;100% posortowane;23.4815
QuickSort;500000;100% posortowane;7.4169
Introsort;500000;Odwrócone (z 100% posortowanych);41.8865
MergeSort;500000;Odwrócone (z 100% posortowanych);25.9192
QuickSort;500000;Odwrócone (z 100% posortowanych);9.1241
Introsort;1000000;0% posortowane;56.4006
MergeSort;1000000;0% posortowane;108.6744
QuickSort;1000000;0% posortowane;66.7782
Introsort;1000000;Odwrócone (z 0% posortowanych);56.2717
MergeSort;1000000;Odwrócone (z 0% posortowanych);115.1138
QuickSort;1000000;Odwrócone (z 0% posortowanych);66.8957
Introsort;1000000;25% posortowane;53.9304
MergeSort;1000000;25% posortowane;94.7268
QuickSort;1000000;25% posortowane;62.8855
Introsort;1000000;Odwrócone (z 25% posortowanych);52.1924
MergeSort;1000000;Odwrócone (z 25% posortowanych);96.9544
QuickSort;1000000;Odwrócone (z 25% posortowanych);61.0895
Introsort;1000000;50% posortowane;49.3853
MergeSort;1000000;50% posortowane;81.2563
QuickSort;1000000;50% posortowane;53.7070
Introsort;1000000;Odwrócone (z 50% posortowanych);46.3498
MergeSort;1000000;Odwrócone (z 50% posortowanych);82.5930
QuickSort;1000000;Odwrócone (z 50% posortowanych);52.0215
Introsort;1000000;75% posortowane;51.8370
MergeSort;1000000;75% posortowane;61.6466
QuickSort;1000000;75% posortowane;40.7055
Introsort;1000000;Odwrócone (z 75% posortowanych);40.1392
MergeSort;1000000;Odwrócone (z 75% posortowanych);68.6488
QuickSort;1000000;Odwrócone (z 75% posortowanych);40.7561
Introsort;1000000;95% posortowane;73.8323
MergeSort;1000000;95% posortowane;48.4019
QuickSort;1000000;95% posortowane;26.4423
Introsort;1000000;Odwrócone (z 95% posortowanych);43.1157
MergeSort;1000000;Odwrócone (z 95% posortowanych);58.2633
QuickSort;1000000;Odwrócone (z 95% posortowanych);26.6944
Introsort;1000000;99% posortowane;78.9101
MergeSort;1000000;99% posortowane;45.9282
QuickSort;1000000;99% posortowane;22.6624
Introsort;1000000;Odwrócone (z 99% posortowanych);50.5566
MergeSort;1000000;Odwrócone (z 99% posortowanych);55.0330
QuickSort;1000000;Odwrócone (z 99% posortowanych);22.5408
Introsort;1000000;100% posortowane;94.6735
MergeSort;1000000;100% posortowane;44.7772
QuickSort;1000000;100% posortowane;17.5512
Introsort;1000000;Odwrócone (z 100% posortowanych);88.7528
MergeSort;1000000;Odwrócone (z 100% posortowanych);52.8463
QuickSort;1000000;Odwrócone (z 100% posortowanych);20.2452
